E_eV,F_erg/cm^2/s
148,3252651921138453.0,1.8927666877365144e-09
149,3594736309865102.0,2.0199887491508513e-09
150,3972798027813479.0,2.1466542205756768e-09
151,4390620843727751.0,2.2617429873318354e-09
152,4852386468784672.0,2.372063638368623e-09
153,5362716408564604.0,2.463948115514368e-09
154,5926718216632682.0,2.5467289300306557e-09
155,6550036612651602.0,2.6041510472250087e-09
156,7238909976633288.0,2.6487711229122086e-09
157,8000232784742773.0,2.6620746876952503e-09
158,8841624611533061.0,2.6603748286084156e-09
159,9771506389208230.0,2.623526132118592e-09
160,1.0799184687143312e+16,2.5717204194685738e-09
161,1.1934944855158668e+16,2.4841051815471616e-09
162,1.3190153962757904e+16,2.38421398407414e-09
163,1.4577374564580314e+16,2.2516390770207315e-09
164,1.6110490430669844e+16,2.1119062021412038e-09
165,1.7804845499912288e+16,1.946288867624333e-09
166,1.967739744733316e+16,1.7802209653913155e-09
167,2.1746887402208544e+16,1.5977665372287243e-09
168,2.4034027515586584e+16,1.4218523337176378e-09
169,2.656170825445624e+16,1.240068994833264e-09
170,2.935522749723485e+16,1.0707522359031656e-09
171,3.244254372343858e+16,9.051651947536342e-10
172,3.585455583154188e+16,7.559451786719014e-10
173,3.962541238553976e+16,6.175027514966498e-10
174,4.3792853385253176e+16,4.969267565592673e-10
175,4.839858798093238e+16,3.907584048982599e-10
176,5.348871191245212e+16,3.01706630858127e-10
177,5.911416885096841e+16,2.2736406060442152e-10
178,6.53312602603037e+16,1.6765668677039136e-10
179,7.220220888091902e+16,1.205178643649263e-10
180,7.979578147601478e+16,8.454163422698181e-11
181,8.818797707241114e+16,5.7802744904835066e-11
182,9.746278758435056e+16,3.858050643451898e-11
183,1.077130384328087e+17,2.5216375593787728e-11
184,1.1904131757350486e+17,1.623677132553893e-11
185,1.3156100223164483e+17,1.0404409037028042e-11
186,1.453973936192995e+17,6.6939433397686135e-12
187,1.6068897099204717e+17,4.320948849649024e-12
188,1.7758877759591206e+17,2.70699578239008e-12
189,1.9626595237560646e+17,1.5023174999203008e-12
190,2.1690742277393987e+17,6.221609800411105e-13
191,2.3971977556449808e+17,2.479898502698211e-13
192,2.6493132444150496e+17,9.94278447226264e-14
193,2.927943950600147e+17,3.948156878783848e-14
194,3.235878503958808e+17,1.8776987376779604e-14
195,3.5761988170014e+17,1.0974786775593572e-14
196,3.952310929806488e+17,6.943473705254308e-15
197,4.36797909881466e+17,4.12925565398151e-15
198,4.827363470772227e+17,1.983474765921149e-15
199,5.3350617188781946e+17,6.299007585997145e-16
200,5.896155057842844e+17,1.0436233893944245e-16
201,6.516259098392558e+17,1.5222953934124803e-17
202,7.201580050189306e+17,1.883723670182325e-18
203,7.958976835662968e+17,1.6360176085747889e-19
204,8.796029736412467e+17,5.209650124174352e-22
205,9.72111625921164e+17,1.939450718829896e-22
206,1.0743494980913048e+18,6.800851398921291e-23
207,1.1873398211396805e+18,4.67087241902232e-24
208,1.3122134401967132e+18,1.80108956194072e-25
209,1.4502201324134075e+18,5.1764860451685204e-27
210,1.602741115151109e+18,1.0688999690863984e-28
211,1.7713028696691412e+18,1.5086908810493708e-30
212,1.9575924186622769e+18,1.365139896890123e-32
213,2.1634742105509115e+18,2.933994037738199e-35
214,2.391008779507541e+18,2.03848488002897e-37
215,2.642473367975277e+18,4.897339300064759e-40
216,2.9203847180756905e+18,4.644035915161629e-43
217,3.227524260009807e+18,2.047512697499529e-46
218,3.5669659495464556e+18,0.0
219,3.942107033204837e+18,0.0
220,4.356702049039448e+18,0.0
221,4.814900403318988e+18,0.0
222,5.32128789917886e+18,0.0
223,5.880932632880322e+18,0.0
224,6.49943571702139e+18,0.0
225,7.18298733835417e+18,0.0
226,7.93842871125464e+18,0.0
227,8.773320546895383e+18,0.0
228,9.696018723384291e+18,0.0
229,1.0715757914201303e+19,0.0
230,1.184274401191422e+19,0.0
231,1.3088256272182133e+19,0.0
232,1.44647602003369e+19,0.0
233,1.5986032310350387e+19,0.0
234,1.7667298004816927e+19,0.0
235,1.9525383955899535e+19,0.0
236,2.157888651232105e+19,0.0
237,2.3848357817872097e+19,0.0
238,2.63565115041742e+19,0.0
239,2.9128450016339608e+19,0.0
240,3.2191915846678585e+19,0.0
241,3.5577569190887817e+19,0.0
242,3.9319294805593416e+19,0.0
243,4.345454113838463e+19,0.0
244,4.802469512446461e+19,0.0
245,5.307549640100752e+19,0.0
246,5.865749508482229e+19,0.0
247,6.482655769491092e+19,0.0
248,7.16444262833685e+19,0.0
249,7.917933637059353e+19,0.0
250,8.750669986930919e+19,0.0
251,9.670985983233473e+19,0.0
252,1.068809245778687e+20,0.0
253,1.1812168954049693e+20,0.0
254,1.3054465607411784e+20,0.0
255,1.4427415740330217e+20,0.0
